userCode_x,company,name_x,gender,age,travelCode,from,to,flightType,price_x,time,distance,agency,date_x,userCode_y,name_y,place,days,price_y,total,date_y,dropoffLocation_car,pickupLocation_car,car_Type,Car_rentalAgency,Car_rentalDuration,Car_fuelPolicy,Car_bookingStatus,Car_totalDistance,car_rent_price
0,4You,Roy Braun,male,21,42,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,07/16/2020,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/16/2020,Derrickfurt,Melindaburgh,Sedan,Sixt,2,Full-to-Full,Confirmed,407,4284
0,4You,Roy Braun,male,21,43,Recife (PE),Salvador (BH),firstClass,1484.94,2.05,788.55,CloudFy,07/23/2020,0,Hotel K,Salvador (BH),4,263.41,1053.64,07/23/2020,New Stevenbury,Porterberg,SUV,Budget,4,Prepaid,Pending,234,2661
0,4You,Roy Braun,male,21,45,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,08-06-2020,0,Hotel BD,Natal (RN),1,242.88,242.88,08/06/2020,West Karenberg,West Jeremiah,Luxury,Avis,1,Prepaid,Confirmed,144,1630
0,4You,Roy Braun,male,21,51,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,09/17/2020,0,Hotel K,Salvador (BH),1,263.41,263.41,09/17/2020,Alexanderview,Ortizmouth,SUV,Hertz,4,Partial,Confirmed,361,3950
0,4You,Roy Braun,male,21,53,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,10-01-2020,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/01/2020,North Stevenstad,Port Steven,Luxury,Avis,5,Partial,Cancelled,147,1864
0,4You,Roy Braun,male,21,54,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,10-08-2020,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/08/2020,Troyhaven,East Kelly,Hatchback,Hertz,4,Prepaid,Pending,187,2217
0,4You,Roy Braun,male,21,55,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,10/15/2020,0,Hotel A,Florianopolis (SC),2,313.02,626.04,10/15/2020,South Brett,East Michellefurt,Hatchback,Avis,2,Prepaid,Pending,135,1592
0,4You,Roy Braun,male,21,57,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,10/29/2020,0,Hotel Z,Aracaju (SE),4,208.04,832.16,10/29/2020,East Christopherside,Lorettamouth,SUV,Budget,4,Partial,Confirmed,58,899
0,4You,Roy Braun,male,21,60,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,11/19/2020,0,Hotel Z,Aracaju (SE),4,208.04,832.16,11/19/2020,North Tracy,Tuckermouth,Sedan,Sixt,5,Prepaid,Cancelled,478,5174
0,4You,Roy Braun,male,21,65,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,12/24/2020,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020,Davistown,Tinafurt,SUV,Budget,1,Full-to-Full,Pending,143,1590
0,4You,Roy Braun,male,21,73,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,02/18/2021,0,Hotel BP,Brasilia (DF),4,247.62,990.48,02/18/2021,West Christopherfurt,Yolandaside,Hatchback,Enterprise,3,Prepaid,Confirmed,173,2020
0,4You,Roy Braun,male,21,81,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,04/15/2021,0,Hotel BD,Natal (RN),4,242.88,971.52,04/15/2021,Josephborough,Port Rebeccaside,Sedan,Sixt,5,Prepaid,Confirmed,403,4406
0,4You,Roy Braun,male,21,86,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,05/20/2021,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/20/2021,Lake Stevenshire,Youngshire,Hatchback,Budget,5,Partial,Pending,278,3159
0,4You,Roy Braun,male,21,87,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,05/27/2021,0,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021,Lawrencechester,Gregoryville,Hatchback,Sixt,3,Partial,Cancelled,233,2612
1,4You,Joseph Holsten,male,37,90,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,10-03-2019,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/03/2019,North Lisaton,Ortizhaven,Sedan,Enterprise,4,Partial,Pending,456,4885
1,4You,Joseph Holsten,male,37,92,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,10/17/2019,1,Hotel BP,Brasilia (DF),1,247.62,247.62,10/17/2019,Lake Richardchester,Holdenland,Sedan,Hertz,2,Prepaid,Cancelled,305,3272
2,4You,Wilma Mcinnis,female,48,100,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,0.48,183.37,CloudFy,10/31/2019,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/31/2019,Ochoaberg,Suarezhaven,Hatchback,Sixt,1,Full-to-Full,Cancelled,434,4507
2,4You,Wilma Mcinnis,female,48,101,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,11-07-2019,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/07/2019,Aliciaborough,West Sydney,Luxury,Sixt,4,Partial,Cancelled,182,2164
2,4You,Wilma Mcinnis,female,48,105,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,12-05-2019,2,Hotel Z,Aracaju (SE),4,208.04,832.16,12/05/2019,South Mariachester,South Angelaport,Sedan,Enterprise,3,Full-to-Full,Confirmed,200,2275
2,4You,Wilma Mcinnis,female,48,108,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,12/26/2019,2,Hotel AU,Recife (PE),3,312.83,938.49,12/26/2019,East Steveberg,North Seanmouth,Hatchback,Budget,2,Partial,Confirmed,433,4576
2,4You,Wilma Mcinnis,female,48,109,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,01-02-2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/02/2020,Youngfort,Shannonville,Sedan,Hertz,1,Prepaid,Cancelled,135,1510
2,4You,Wilma Mcinnis,female,48,110,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,01-09-2020,2,Hotel K,Salvador (BH),1,263.41,263.41,01/09/2020,Lake Adamport,Stacyberg,Sedan,Sixt,2,Full-to-Full,Confirmed,138,1617
2,4You,Wilma Mcinnis,female,48,112,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,01/23/2020,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/23/2020,Mahoneyville,Port Lisaborough,Hatchback,Sixt,3,Prepaid,Cancelled,434,4631
2,4You,Wilma Mcinnis,female,48,116,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,02/20/2020,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/20/2020,West Veronica,Morachester,Luxury,Sixt,2,Partial,Confirmed,206,2278
2,4You,Wilma Mcinnis,female,48,117,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,02/27/2020,2,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020,Stevenborough,Carmenport,SUV,Sixt,1,Prepaid,Pending,222,2407
2,4You,Wilma Mcinnis,female,48,119,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,03-12-2020,2,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020,Jamesview,Carriemouth,Hatchback,Enterprise,4,Partial,Pending,497,5316
2,4You,Wilma Mcinnis,female,48,122,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,04-02-2020,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/02/2020,Dillontown,East Mike,Luxury,Sixt,3,Full-to-Full,Cancelled,322,3503
2,4You,Wilma Mcinnis,female,48,124,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,04/16/2020,2,Hotel Z,Aracaju (SE),3,208.04,624.12,04/16/2020,Larryton,Juliefurt,Hatchback,Hertz,2,Full-to-Full,Cancelled,61,857
2,4You,Wilma Mcinnis,female,48,125,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,04/23/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/23/2020,West Johnfurt,Vanessastad,Luxury,Enterprise,3,Full-to-Full,Cancelled,72,987
2,4You,Wilma Mcinnis,female,48,135,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,07-02-2020,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,Ellisville,Sandychester,SUV,Sixt,1,Prepaid,Cancelled,143,1618
2,4You,Wilma Mcinnis,female,48,137,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,07/16/2020,2,Hotel A,Florianopolis (SC),3,313.02,939.06,07/16/2020,East Lisaton,Mooretown,SUV,Hertz,1,Prepaid,Cancelled,254,2726
2,4You,Wilma Mcinnis,female,48,150,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,10/15/2020,2,Hotel Z,Aracaju (SE),2,208.04,416.08,10/15/2020,Wattstown,Nguyenburgh,Sedan,Avis,4,Prepaid,Cancelled,313,3471
2,4You,Wilma Mcinnis,female,48,153,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,11-05-2020,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/05/2020,Chelseamouth,Beckbury,Sedan,Avis,1,Full-to-Full,Pending,114,1316
2,4You,Wilma Mcinnis,female,48,156,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,11/26/2020,2,Hotel BP,Brasilia (DF),2,247.62,495.24,11/26/2020,Savageberg,South Danielmouth,SUV,Hertz,4,Partial,Pending,314,3475
2,4You,Wilma Mcinnis,female,48,160,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,12/24/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/24/2020,Bradleyhaven,Robinmouth,Hatchback,Sixt,5,Prepaid,Confirmed,389,4252
2,4You,Wilma Mcinnis,female,48,165,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,01/28/2021,2,Hotel BD,Natal (RN),3,242.88,728.64,01/28/2021,Port Darrellchester,Kirkhaven,SUV,Sixt,4,Full-to-Full,Confirmed,196,2293
2,4You,Wilma Mcinnis,female,48,177,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,04/22/2021,2,Hotel Z,Aracaju (SE),2,208.04,416.08,04/22/2021,Hodgestad,South Dustinberg,Luxury,Enterprise,2,Partial,Pending,275,2962
2,4You,Wilma Mcinnis,female,48,180,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,05/13/2021,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/13/2021,Veronicaton,Hortonfort,Luxury,Sixt,5,Partial,Cancelled,341,3774
2,4You,Wilma Mcinnis,female,48,187,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,07-01-2021,2,Hotel Z,Aracaju (SE),3,208.04,624.12,07/01/2021,Gloverberg,Rachelview,Luxury,Enterprise,1,Full-to-Full,Confirmed,392,4118
2,4You,Wilma Mcinnis,female,48,188,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,07-08-2021,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,07/08/2021,Brendabury,Candiceberg,SUV,Sixt,2,Partial,Cancelled,249,2730
2,4You,Wilma Mcinnis,female,48,189,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,07/15/2021,2,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021,Brownfort,South Laurenchester,Sedan,Budget,2,Partial,Pending,226,2474
2,4You,Wilma Mcinnis,female,48,192,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,08-05-2021,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/05/2021,Terryview,North Katrina,Luxury,Budget,2,Prepaid,Confirmed,55,772
2,4You,Wilma Mcinnis,female,48,197,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,09-09-2021,2,Hotel A,Florianopolis (SC),3,313.02,939.06,09/09/2021,South Erinton,Johnsonstad,Luxury,Hertz,1,Prepaid,Confirmed,429,4483
2,4You,Wilma Mcinnis,female,48,201,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,10-07-2021,2,Hotel A,Florianopolis (SC),2,313.02,626.04,10/07/2021,Rosariotown,Millerfurt,SUV,Budget,1,Partial,Confirmed,162,1804
2,4You,Wilma Mcinnis,female,48,205,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,11-04-2021,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/04/2021,New Josephville,New Jessicabury,Luxury,Avis,2,Prepaid,Confirmed,339,3618
2,4You,Wilma Mcinnis,female,48,211,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,12/16/2021,2,Hotel Z,Aracaju (SE),3,208.04,624.12,12/16/2021,Lake Brandyborough,Ashleystad,SUV,Avis,5,Prepaid,Pending,334,3708
2,4You,Wilma Mcinnis,female,48,213,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,12/30/2021,2,Hotel K,Salvador (BH),3,263.41,790.23,12/30/2021,Christopherstad,Lake Derrick,Sedan,Enterprise,2,Prepaid,Pending,333,3566
2,4You,Wilma Mcinnis,female,48,214,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,01-06-2022,2,Hotel AU,Recife (PE),1,312.83,312.83,01/06/2022,Port Sherry,Port Benjamin,Luxury,Avis,1,Prepaid,Pending,105,1211
2,4You,Wilma Mcinnis,female,48,219,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,02-10-2022,2,Hotel A,Florianopolis (SC),2,313.02,626.04,02/10/2022,Heathburgh,Gardnermouth,Luxury,Sixt,1,Partial,Confirmed,192,2085
2,4You,Wilma Mcinnis,female,48,221,Aracaju (SE),Salvador (BH),economic,943.36,2.16,830.86,Rainbow,02/24/2022,2,Hotel K,Salvador (BH),1,263.41,263.41,02/24/2022,Port Randyland,South Barbaramouth,Luxury,Enterprise,4,Prepaid,Confirmed,100,1334
2,4You,Wilma Mcinnis,female,48,224,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,03/17/2022,2,Hotel BP,Brasilia (DF),3,247.62,742.86,03/17/2022,Drakestad,Port Carol,SUV,Budget,3,Partial,Cancelled,157,1852
2,4You,Wilma Mcinnis,female,48,225,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,03/24/2022,2,Hotel BD,Natal (RN),4,242.88,971.52,03/24/2022,Landryhaven,West Trevorside,SUV,Budget,5,Partial,Pending,483,5210
3,4You,Paula Daniel,female,23,233,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,11/14/2019,3,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,Samanthaborough,Lake Allisonstad,Hatchback,Avis,4,Full-to-Full,Confirmed,203,2351
3,4You,Paula Daniel,female,23,235,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,11/28/2019,3,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019,East Traceytown,Howeshire,Sedan,Avis,3,Prepaid,Pending,481,5074
3,4You,Paula Daniel,female,23,238,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,12/19/2019,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019,Jenningsland,South Larry,Hatchback,Sixt,1,Partial,Cancelled,84,1023
3,4You,Paula Daniel,female,23,239,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,12/26/2019,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/26/2019,Shawnbury,Shannonburgh,Hatchback,Budget,3,Partial,Cancelled,162,1891
3,4You,Paula Daniel,female,23,240,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,01-02-2020,3,Hotel BP,Brasilia (DF),4,247.62,990.48,01/02/2020,East Brentfurt,New Heatherborough,Hatchback,Avis,1,Full-to-Full,Cancelled,172,1907
3,4You,Paula Daniel,female,23,241,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,01-09-2020,3,Hotel A,Florianopolis (SC),1,313.02,313.02,01/09/2020,Coopertown,Port Patricia,SUV,Budget,2,Full-to-Full,Cancelled,341,3636
3,4You,Paula Daniel,female,23,243,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,1.55,597.61,CloudFy,01/23/2020,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,01/23/2020,New Deborahburgh,New Tonyaberg,Luxury,Budget,5,Full-to-Full,Confirmed,439,4768
3,4You,Paula Daniel,female,23,244,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,01/30/2020,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/30/2020,Stevenchester,North Williamton,Luxury,Avis,1,Full-to-Full,Pending,374,3903
3,4You,Paula Daniel,female,23,246,Brasilia (DF),Recife (PE),economic,432.1,0.63,242.21,CloudFy,02/13/2020,3,Hotel AU,Recife (PE),2,312.83,625.66,02/13/2020,North Shariberg,South Hollyberg,SUV,Budget,1,Prepaid,Confirmed,378,3956
3,4You,Paula Daniel,female,23,248,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,02/27/2020,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/27/2020,Tammyborough,West Edwardland,Hatchback,Avis,1,Partial,Cancelled,74,917
3,4You,Paula Daniel,female,23,255,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,04/16/2020,3,Hotel A,Florianopolis (SC),1,313.02,313.02,04/16/2020,East Ericaborough,New Williamfort,Sedan,Hertz,3,Full-to-Full,Cancelled,431,4582
3,4You,Paula Daniel,female,23,259,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,05/14/2020,3,Hotel BD,Natal (RN),2,242.88,485.76,05/14/2020,East Laura,Montoyamouth,SUV,Avis,1,Full-to-Full,Pending,168,1871
3,4You,Paula Daniel,female,23,263,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,06-11-2020,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,06/11/2020,Zhangport,East Jackhaven,Hatchback,Budget,2,Partial,Cancelled,250,2749
3,4You,Paula Daniel,female,23,269,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,07/23/2020,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/23/2020,East Kathleenchester,Collinsmouth,SUV,Hertz,4,Partial,Confirmed,464,4973
3,4You,Paula Daniel,female,23,275,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,09-03-2020,3,Hotel BD,Natal (RN),2,242.88,485.76,09/03/2020,Ramirezland,Port Wendyborough,Luxury,Budget,4,Prepaid,Confirmed,133,1665
3,4You,Paula Daniel,female,23,279,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,10-01-2020,3,Hotel BD,Natal (RN),1,242.88,242.88,10/01/2020,Jakemouth,Kristopherchester,Luxury,Budget,4,Full-to-Full,Cancelled,313,3467
3,4You,Paula Daniel,female,23,283,Recife (PE),Sao Paulo (SP),premium,670.13,1.26,486.52,Rainbow,10/29/2020,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020,North Jessica,North Robertchester,Luxury,Hertz,1,Partial,Confirmed,163,1816
3,4You,Paula Daniel,female,23,287,Brasilia (DF),Recife (PE),firstClass,691.39,0.63,242.21,FlyingDrops,11/26/2020,3,Hotel AU,Recife (PE),1,312.83,312.83,11/26/2020,Maryberg,Port Krista,Hatchback,Sixt,2,Partial,Pending,212,2368
3,4You,Paula Daniel,female,23,290,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,12/17/2020,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/17/2020,Stevensfort,Lopezstad,SUV,Hertz,3,Full-to-Full,Pending,426,4549
3,4You,Paula Daniel,female,23,291,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,12/24/2020,3,Hotel K,Salvador (BH),1,263.41,263.41,12/24/2020,Estradaside,Andrewville,Hatchback,Budget,5,Full-to-Full,Cancelled,128,1672
3,4You,Paula Daniel,female,23,295,Recife (PE),Natal (RN),firstClass,669.83,0.58,222.67,CloudFy,01/21/2021,3,Hotel BD,Natal (RN),4,242.88,971.52,01/21/2021,Gutierrezberg,West Brandymouth,SUV,Budget,3,Partial,Confirmed,282,3080
3,4You,Paula Daniel,female,23,296,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,01/28/2021,3,Hotel AU,Recife (PE),3,312.83,938.49,01/28/2021,East Katelyn,Lake Maria,Sedan,Sixt,1,Full-to-Full,Confirmed,306,3223
3,4You,Paula Daniel,female,23,299,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,02/18/2021,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/18/2021,Lake Gerald,Lake Amy,Luxury,Hertz,2,Partial,Cancelled,375,3985
3,4You,Paula Daniel,female,23,300,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,02/25/2021,3,Hotel K,Salvador (BH),3,263.41,790.23,02/25/2021,Richardsonmouth,East Christinaville,Sedan,Avis,5,Prepaid,Confirmed,404,4424
3,4You,Paula Daniel,female,23,303,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,03/18/2021,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,03/18/2021,Wilsonland,North Melissaville,Luxury,Budget,1,Prepaid,Cancelled,68,868
3,4You,Paula Daniel,female,23,305,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,04-01-2021,3,Hotel BD,Natal (RN),4,242.88,971.52,04/01/2021,Thomasberg,South Aprilbury,Sedan,Hertz,2,Full-to-Full,Pending,55,792
3,4You,Paula Daniel,female,23,306,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,04-08-2021,3,Hotel A,Florianopolis (SC),3,313.02,939.06,04/08/2021,Port Karenburgh,New Frank,Hatchback,Enterprise,3,Partial,Pending,263,2890
3,4You,Paula Daniel,female,23,307,Aracaju (SE),Natal (RN),premium,535.95,0.46,176.33,CloudFy,04/15/2021,3,Hotel BD,Natal (RN),2,242.88,485.76,04/15/2021,West Rachelstad,Catherinefurt,Luxury,Budget,2,Full-to-Full,Pending,268,2925
3,4You,Paula Daniel,female,23,311,Aracaju (SE),Sao Paulo (SP),economic,410.79,1.02,392.76,CloudFy,05/13/2021,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/13/2021,South Jennaberg,North Margarettown,Hatchback,Avis,2,Full-to-Full,Pending,317,3391
3,4You,Paula Daniel,female,23,315,Recife (PE),Rio de Janeiro (RJ),premium,1270.03,2.3,885.57,CloudFy,06-10-2021,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,06/10/2021,South Bobby,Micheleville,Hatchback,Budget,3,Full-to-Full,Cancelled,54,835
